ID,USERID,TYPE,REGISTRATIONDATE,DOMAIN,STATUS,NEXTDUEDATE
64881,68171,Register,30/10/2012 00:00:00,,Active,30/10/2019 00:00:00
64890,68201,Register,28/10/2012 00:00:00,,Active,28/10/2019 00:00:00
64902,68208,Register,30/10/2012 00:00:00,,Active,30/10/2019 00:00:00
64903,70955,Register,29/10/2012 00:00:00,,Active,30/10/2019 00:00:00
64920,68215,Register,30/10/2012 00:00:00,,Active,31/10/2019 00:00:00
115479,80941,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
115481,91282,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
115482,91283,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
115483,59872,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
115484,83002,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
115485,85705,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
115486,90437,Transfer,23/10/2018 00:00:00,,Active,30/10/2019 00:00:00
115487,64969,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
115488,82383,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
115489,72439,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
115490,83062,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
115491,91284,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
115492,91285,Register,24/10/2018 00:00:00,,Active,24/10/2019 00:00:00
115493,91286,Register,23/10/2018 00:00:00,,Active,23/10/2019 00:00:00
114979,60211,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114980,77638,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114981,91080,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114982,91082,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114983,91082,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114984,90796,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114986,71832,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114987,71832,Register,08/10/2018 00:00:00,,Active,09/10/2019 00:00:00
114988,77074,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114989,77074,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114990,91083,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114991,91073,Transfer,04/10/2018 00:00:00,,Active,13/10/2019 00:00:00
114992,76595,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114993,76595,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114994,91084,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114911,91060,Register,02/10/2018 00:00:00,,Active,02/10/2019 00:00:00
114998,91084,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
114999,91085,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
115000,91086,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
115001,91086,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
115002,91087,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
115003,91087,Register,04/10/2018 00:00:00,,Active,04/10/2019 00:00:00
116437,87688,Transfer,23/11/2018 00:00:00,,Active,28/10/2019 00:00:00
116486,87405,Transfer,26/11/2018 00:00:00,,Active,23/10/2019 00:00:00
116487,87405,Transfer,26/11/2018 00:00:00,,Transferred Away,23/10/2019 00:00:00
116488,87405,Transfer,26/11/2018 00:00:00,,Active,23/10/2019 00:00:00
116489,87405,Transfer,26/11/2018 00:00:00,,Active,23/10/2019 00:00:00
116490,87405,Transfer,26/11/2018 00:00:00,,Active,23/10/2019 00:00:00
